"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Car, truck, or van -- drove alone!!Estimate","United States!!Car, truck, or van -- drove alone!!Margin of Error","United States!!Car, truck, or van -- carpooled!!Estimate","United States!!Car, truck, or van -- carpooled!!Margin of Error","United States!!Public transportation (excluding taxicab)!!Estimate","United States!!Public transportation (excluding taxicab)!!Margin of Error"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","22.2%","±0.1","20.1%","±0.1","32.8%","±0.1","36.7%","±0.1"
"            Speak English ""very well""","13.6%","±0.1","12.8%","±0.1","16.4%","±0.1","21.0%","±0.1"
"            Speak English less than ""very well""","8.6%","±0.1","7.3%","±0.1","16.3%","±0.2","15.7%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","152,715,525","±170,089","116,574,524","±125,751","13,761,038","±81,670","7,640,895","±21,511"
"        $1 to $9,999 or loss","11.6%","±0.1","10.1%","±0.1","16.2%","±0.1","12.9%","±0.1"
"        $10,000 to $14,999","6.6%","±0.1","6.1%","±0.1","8.2%","±0.1","7.2%","±0.1"
"        $15,000 to $24,999","13.8%","±0.1","13.3%","±0.1","17.4%","±0.1","14.4%","±0.1"
"        $25,000 to $34,999","13.9%","±0.1","14.3%","±0.1","15.4%","±0.1","11.6%","±0.1"
"        $35,000 to $49,999","15.9%","±0.1","16.9%","±0.1","15.2%","±0.1","12.1%","±0.1"
"        $50,000 to $64,999","12.5%","±0.1","13.3%","±0.1","10.3%","±0.1","10.1%","±0.1"
"        $65,000 to $74,999","4.8%","±0.1","5.1%","±0.1","3.7%","±0.1","4.4%","±0.1"
"        $75,000 or more","20.9%","±0.1","21.0%","±0.1","13.6%","±0.1","27.3%","±0.2"
"        Median earnings (dollars)","38,565","±98","40,180","±83","30,227","±76","39,553","±245"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","151,530,527","±171,803","116,237,082","±126,288","13,688,929","±81,658","7,596,611","±21,036"
"        Below 100 percent of the poverty level","6.2%","±0.1","5.2%","±0.1","8.6%","±0.1","9.6%","±0.1"
"        100 to 149 percent of the poverty level","5.9%","±0.1","5.4%","±0.1","8.4%","±0.1","7.5%","±0.1"
"        At or above 150 percent of the poverty level","87.9%","±0.1","89.3%","±0.1","83.0%","±0.1","82.9%","±0.1"
"Workers 16 years and over","152,735,781","±170,067","116,584,507","±125,685","13,763,532","±81,680","7,641,160","±21,502"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","38.5%","±0.1","38.4%","±0.1","30.3%","±0.2","43.1%","±0.2"
"        Service occupations","17.6%","±0.1","16.8%","±0.1","20.8%","±0.1","22.7%","±0.2"
"        Sales and office occupations","21.6%","±0.1","21.9%","±0.1","19.0%","±0.1","20.8%","±0.1"
"        Natural resources, construction, and maintenance occupations","8.9%","±0.1","8.9%","±0.1","13.6%","±0.1","4.5%","±0.1"
"        Production, transportation, and material moving occupations","13.2%","±0.1","13.7%","±0.1","16.0%","±0.1","8.8%","±0.1"
"        Military specific occupations","0.4%","±0.1","0.3%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.8%","±0.1","1.6%","±0.1","2.5%","±0.1","0.5%","±0.1"
"        Construction","6.5%","±0.1","6.5%","±0.1","10.4%","±0.1","3.6%","±0.1"
"        Manufacturing","10.1%","±0.1","10.8%","±0.1","10.9%","±0.1","4.5%","±0.1"
"        Wholesale trade","2.6%","±0.1","2.7%","±0.1","2.2%","±0.1","1.6%","±0.1"
"        Retail trade","11.1%","±0.1","11.4%","±0.1","10.9%","±0.1","10.0%","±0.1"
"        Transportation and warehousing, and utilities","5.3%","±0.1","5.7%","±0.1","4.4%","±0.1","4.0%","±0.1"
"        Information and finance and insurance, and real estate and rental and leasing","8.6%","±0.1","8.2%","±0.1","5.8%","±0.1","13.3%","±0.1"
"        Professional, scientific, management, and administrative and waste management services","11.5%","±0.1","10.3%","±0.1","10.7%","±0.1","17.5%","±0.1"
"        Educational services, and health care and social assistance","22.8%","±0.1","23.6%","±0.1","21.2%","±0.2","21.2%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","9.6%","±0.1","8.9%","±0.1","11.7%","±0.1","13.4%","±0.1"
"        Other services (except public administration)","4.8%","±0.1","4.7%","±0.1","4.9%","±0.1","4.7%","±0.1"
"        Public administration","4.6%","±0.1","4.9%","±0.1","3.7%","±0.1","5.2%","±0.1"
"        Armed forces","0.7%","±0.1","0.6%","±0.1","0.6%","±0.1","0.2%","±0.1"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","79.7%","±0.1","80.4%","±0.1","80.4%","±0.1","83.4%","±0.1"
"        Government workers","14.3%","±0.1","15.0%","±0.1","13.5%","±0.2","13.2%","±0.1"
"        Self-employed workers in own not incorporated business","5.8%","±0.1","4.6%","±0.1","5.8%","±0.1","3.3%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","96.3%","±0.1","96.5%","±0.1","96.3%","±0.1","90.2%","±0.1"
"            Worked in county of residence","72.2%","±0.1","70.6%","±0.1","71.8%","±0.1","56.4%","±0.2"
"            Worked outside county of residence","24.1%","±0.1","25.9%","±0.1","24.5%","±0.1","33.8%","±0.1"
"        Worked outside state of residence","3.7%","±0.1","3.5%","±0.1","3.7%","±0.1","9.8%","±0.1"
"Workers 16 years and over who did not work from home","144,837,205","±182,584","116,584,507","±125,685","13,763,532","±81,680","7,641,160","±21,502"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.9%","±0.1","4.9%","±0.1","5.6%","±0.1","3.3%","±0.1"
"        5:00 a.m. to 5:29 a.m.","4.0%","±0.1","4.0%","±0.1","4.8%","±0.1","3.6%","±0.1"
"        5:30 a.m. to 5:59 a.m.","4.9%","±0.1","5.0%","±0.1","5.5%","±0.1","4.0%","±0.1"
"        6:00 a.m. to 6:29 a.m.","8.9%","±0.1","9.0%","±0.1","9.8%","±0.1","8.8%","±0.1"
"        6:30 a.m. to 6:59 a.m.","9.8%","±0.1","10.1%","±0.1","10.2%","±0.1","8.2%","±0.1"
"        7:00 a.m. to 7:29 a.m.","14.7%","±0.1","14.9%","±0.1","15.0%","±0.1","15.2%","±0.1"
"        7:30 a.m. to 7:59 a.m.","12.2%","±0.1","12.7%","±0.1","10.7%","±0.1","10.6%","±0.1"
"        8:00 a.m. to 8:29 a.m.","11.0%","±0.1","10.9%","±0.1","9.0%","±0.1","15.0%","±0.1"
"        8:30 a.m. to 8:59 a.m.","5.4%","±0.1","5.3%","±0.1","4.4%","±0.1","6.5%","±0.1"
"        9:00 a.m. to 11:59 p.m.","24.2%","±0.1","23.2%","±0.1","25.0%","±0.1","24.8%","±0.2"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","12.2%","±0.1","11.8%","±0.1","11.4%","±0.1","1.1%","±0.1"
"        10 to 14 minutes","13.3%","±0.1","13.7%","±0.1","13.2%","±0.1","2.2%","±0.1"
"        15 to 19 minutes","15.1%","±0.1","15.9%","±0.1","15.0%","±0.1","4.2%","±0.1"
"        20 to 24 minutes","14.3%","±0.1","15.1%","±0.1","13.8%","±0.1","6.8%","±0.1"
"        25 to 29 minutes","6.5%","±0.1","6.9%","±0.1","6.0%","±0.1","3.7%","±0.1"
"        30 to 34 minutes","13.8%","±0.1","14.0%","±0.1","14.3%","±0.1","15.2%","±0.1"
"        35 to 44 minutes","7.1%","±0.1","7.1%","±0.1","6.9%","±0.1","10.4%","±0.1"
"        45 to 59 minutes","8.3%","±0.1","8.0%","±0.1","8.7%","±0.1","17.7%","±0.1"
"        60 or more minutes","9.3%","±0.1","7.5%","±0.1","10.8%","±0.1","38.7%","±0.1"
"        Mean travel time to work (minutes)","26.9","±0.1","25.7","±0.1","28.2","±0.1","50.4","±0.1"
"Workers 16 years and over in households","151,262,928","±173,446","116,194,356","±126,618","13,644,022","±81,487","7,530,255","±20,898"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","66.2%","±0.2","69.3%","±0.2","60.3%","±0.3","40.5%","±0.3"
"        Renter-occupied housing units","33.8%","±0.2","30.7%","±0.2","39.7%","±0.3","59.5%","±0.3"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","4.3%","±0.1","1.2%","±0.1","5.1%","±0.1","34.8%","±0.2"
"        1 vehicle available","20.4%","±0.1","18.8%","±0.1","22.5%","±0.2","31.1%","±0.2"
"        2 vehicles available","40.7%","±0.1","42.8%","±0.1","37.8%","±0.1","22.0%","±0.1"
"        3 or more vehicles available","34.7%","±0.1","37.2%","±0.1","34.6%","±0.1","12.1%","±0.1"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","10.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","20.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","15.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
