"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Car, truck, or van -- drove alone!!Estimate","United States!!Car, truck, or van -- drove alone!!Margin of Error","United States!!Car, truck, or van -- carpooled!!Estimate","United States!!Car, truck, or van -- carpooled!!Margin of Error","United States!!Public transportation (excluding taxicab)!!Estimate","United States!!Public transportation (excluding taxicab)!!Margin of Error"
"            Native Hawaiian and Other Pacific Islander","0.2%","±0.1","0.2%","±0.1","0.3%","±0.1","0.2%","±0.1"
"            Some other race","4.8%","±0.1","4.2%","±0.1","7.8%","±0.1","9.9%","±0.1"
"        Two or more races","2.4%","±0.1","2.2%","±0.1","3.0%","±0.1","3.3%","±0.1"
"        Hispanic or Latino origin (of any race)","16.8%","±0.1","15.6%","±0.1","25.6%","±0.1","22.9%","±0.1"
"        White alone, not Hispanic or Latino","63.6%","±0.1","66.2%","±0.1","51.7%","±0.1","39.1%","±0.1"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","83.0%","±0.1","85.2%","±0.1","74.7%","±0.1","67.4%","±0.1"
"        Foreign born","17.0%","±0.1","14.8%","±0.1","25.3%","±0.1","32.6%","±0.1"
"            Naturalized U.S. citizen","8.4%","±0.1","8.0%","±0.1","9.7%","±0.1","14.6%","±0.1"
"            Not a U.S. citizen","8.5%","±0.1","6.9%","±0.1","15.6%","±0.2","18.1%","±0.2"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","22.0%","±0.1","19.8%","±0.1","32.6%","±0.1","36.8%","±0.2"
"            Speak English ""very well""","13.3%","±0.1","12.5%","±0.1","16.0%","±0.1","20.6%","±0.1"
"            Speak English less than ""very well""","8.7%","±0.1","7.3%","±0.1","16.6%","±0.1","16.2%","±0.1"
"EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","150,549,601","±169,035","115,084,857","±118,844","13,669,446","±74,535","7,601,874","±20,690"
"        $1 to $9,999 or loss","12.2%","±0.1","10.5%","±0.1","16.7%","±0.1","13.8%","±0.1"
"        $10,000 to $14,999","7.0%","±0.1","6.6%","±0.1","8.8%","±0.1","7.9%","±0.1"
"        $15,000 to $24,999","14.0%","±0.1","13.5%","±0.1","17.6%","±0.1","14.8%","±0.1"
"        $25,000 to $34,999","14.1%","±0.1","14.4%","±0.1","15.4%","±0.1","11.6%","±0.1"
"        $35,000 to $49,999","15.9%","±0.1","16.9%","±0.1","14.9%","±0.1","12.2%","±0.1"
"        $50,000 to $64,999","12.2%","±0.1","13.0%","±0.1","10.1%","±0.1","10.0%","±0.1"
"        $65,000 to $74,999","5.0%","±0.1","5.3%","±0.1","3.8%","±0.1","4.7%","±0.1"
"        $75,000 or more","19.6%","±0.1","19.7%","±0.1","12.7%","±0.1","25.0%","±0.2"
"        Median earnings (dollars)","36,976","±77","38,878","±115","29,021","±137","36,784","±193"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","149,386,231","±170,211","114,759,675","±118,935","13,599,413","±74,531","7,560,468","±20,702"
"        Below 100 percent of the poverty level","6.5%","±0.1","5.5%","±0.1","9.2%","±0.1","10.4%","±0.1"
"        100 to 149 percent of the poverty level","6.2%","±0.1","5.7%","±0.1","8.7%","±0.1","8.0%","±0.1"
"        At or above 150 percent of the poverty level","87.3%","±0.1","88.8%","±0.1","82.1%","±0.1","81.5%","±0.1"
"Workers 16 years and over","150,571,044","±169,078","115,095,765","±118,932","13,671,979","±74,546","7,602,145","±20,673"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","37.9%","±0.1","37.9%","±0.1","29.7%","±0.2","41.8%","±0.2"
"        Service occupations","17.7%","±0.1","16.8%","±0.1","20.7%","±0.1","23.1%","±0.2"
"        Sales and office occupations","22.0%","±0.1","22.4%","±0.1","19.3%","±0.1","21.4%","±0.1"
"        Natural resources, construction, and maintenance occupations","8.9%","±0.1","8.9%","±0.1","13.9%","±0.1","4.6%","±0.1"
"        Production, transportation, and material moving occupations","13.2%","±0.1","13.7%","±0.1","16.1%","±0.1","9.0%","±0.1"
"        Military specific occupations","0.3%","±0.1","0.3%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.8%","±0.1","1.6%","±0.1","2.6%","±0.1","0.6%","±0.1"
"        Construction","6.4%","±0.1","6.3%","±0.1","10.5%","±0.1","3.6%","±0.1"
"        Manufacturing","10.2%","±0.1","10.9%","±0.1","11.0%","±0.1","4.6%","±0.1"
"        Wholesale trade","2.6%","±0.1","2.8%","±0.1","2.3%","±0.1","1.6%","±0.1"
"        Retail trade","11.2%","±0.1","11.5%","±0.1","10.9%","±0.1","10.3%","±0.1"
"        Transportation and warehousing, and utilities","5.2%","±0.1","5.5%","±0.1","4.3%","±0.1","3.9%","±0.1"
"        Information and finance and insurance, and real estate and rental and leasing","8.6%","±0.1","8.3%","±0.1","5.9%","±0.1","13.2%","±0.1"
"        Professional, scientific, management, and administrative and waste management services","11.4%","±0.1","10.2%","±0.1","10.7%","±0.1","17.1%","±0.1"
"        Educational services, and health care and social assistance","22.8%","±0.1","23.6%","±0.1","21.0%","±0.2","21.2%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","9.6%","±0.1","8.9%","±0.1","11.6%","±0.1","13.7%","±0.1"
"        Other services (except public administration)","4.9%","±0.1","4.7%","±0.1","4.9%","±0.1","4.8%","±0.1"
"        Public administration","4.6%","±0.1","5.0%","±0.1","3.8%","±0.1","5.2%","±0.1"
"        Armed forces","0.7%","±0.1","0.6%","±0.1","0.6%","±0.1","0.2%","±0.1"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","79.8%","±0.1","80.4%","±0.1","80.5%","±0.1","83.5%","±0.1"
"        Government workers","14.2%","±0.1","14.9%","±0.1","13.4%","±0.1","13.1%","±0.1"
"        Self-employed workers in own not incorporated business","5.9%","±0.1","4.6%","±0.1","5.9%","±0.1","3.4%","±0.1"
"        Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.3%","±0.1","0.1%","±0.1"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","96.3%","±0.1","96.5%","±0.1","96.2%","±0.1","90.3%","±0.1"
"            Worked in county of residence","72.3%","±0.1","70.8%","±0.1","71.4%","±0.1","56.8%","±0.2"
"            Worked outside county of residence","24.0%","±0.1","25.7%","±0.1","24.8%","±0.1","33.5%","±0.1"
"        Worked outside state of residence","3.7%","±0.1","3.5%","±0.1","3.8%","±0.1","9.7%","±0.1"
"Workers 16 years and over who did not work at home","143,148,111","±180,145","115,095,765","±118,932","13,671,979","±74,546","7,602,145","±20,673"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.7%","±0.1","4.8%","±0.1","5.5%","±0.1","3.2%","±0.1"
"        5:00 a.m. to 5:29 a.m.","3.9%","±0.1","3.9%","±0.1","4.8%","±0.1","3.6%","±0.1"
"        5:30 a.m. to 5:59 a.m.","4.9%","±0.1","5.0%","±0.1","5.6%","±0.1","4.1%","±0.1"
"        6:00 a.m. to 6:29 a.m.","8.9%","±0.1","9.0%","±0.1","9.9%","±0.1","8.9%","±0.1"
"        6:30 a.m. to 6:59 a.m.","9.8%","±0.1","10.1%","±0.1","10.4%","±0.1","8.3%","±0.1"
"        7:00 a.m. to 7:29 a.m.","14.7%","±0.1","14.9%","±0.1","15.1%","±0.1","15.2%","±0.1"
"        7:30 a.m. to 7:59 a.m.","12.3%","±0.1","12.8%","±0.1","10.8%","±0.1","10.6%","±0.1"
"        8:00 a.m. to 8:29 a.m.","10.9%","±0.1","10.9%","±0.1","8.9%","±0.1","14.8%","±0.1"
"        8:30 a.m. to 8:59 a.m.","5.4%","±0.1","5.3%","±0.1","4.4%","±0.1","6.3%","±0.1"
"        9:00 a.m. to 11:59 p.m.","24.3%","±0.1","23.3%","±0.1","24.7%","±0.1","25.0%","±0.1"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","12.5%","±0.1","12.1%","±0.1","11.2%","±0.1","1.2%","±0.1"
"        10 to 14 minutes","13.4%","±0.1","13.9%","±0.1","13.2%","±0.1","2.2%","±0.1"
"        15 to 19 minutes","15.2%","±0.1","16.0%","±0.1","15.0%","±0.1","4.2%","±0.1"
"        20 to 24 minutes","14.5%","±0.1","15.3%","±0.1","13.9%","±0.1","7.0%","±0.1"
"        25 to 29 minutes","6.4%","±0.1","6.8%","±0.1","6.0%","±0.1","3.6%","±0.1"
"        30 to 34 minutes","13.7%","±0.1","13.9%","±0.1","14.4%","±0.1","15.4%","±0.1"
"        35 to 44 minutes","6.9%","±0.1","7.0%","±0.1","6.8%","±0.1","10.4%","±0.1"
"        45 to 59 minutes","8.2%","±0.1","7.9%","±0.1","8.7%","±0.1","17.6%","±0.1"
"        60 or more minutes","9.1%","±0.1","7.2%","±0.1","10.7%","±0.1","38.4%","±0.1"
"        Mean travel time to work (minutes)","26.6","±0.1","25.4","±0.1","28.1","±0.1","50.1","±0.1"
"Workers 16 years and over in households","149,110,891","±171,288","114,718,136","±119,235","13,552,736","±74,336","7,493,832","±20,495"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","66.1%","±0.2","69.3%","±0.2","60.1%","±0.3","40.1%","±0.3"
"        Renter-occupied housing units","33.9%","±0.2","30.7%","±0.2","39.9%","±0.3","59.9%","±0.3"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","4.3%","±0.1","1.2%","±0.1","5.2%","±0.1","35.1%","±0.2"
"        1 vehicle available","20.6%","±0.1","19.1%","±0.1","22.8%","±0.2","31.0%","±0.2"
"        2 vehicles available","41.0%","±0.1","43.1%","±0.1","38.0%","±0.2","22.1%","±0.1"
"        3 or more vehicles available","34.1%","±0.1","36.6%","±0.1","34.0%","±0.1","11.8%","±0.1"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","9.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","20.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","14.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
